seed,method,split,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
0,bayesian_active_model_selection,combined_disagreement_stress,48,0.585067,0.016592,0.110608,0.012202,0.409722,0.063749,0.569444,0.106028,0.038194,0.027919,0.180756,0.014762,0.260651,0.034459,0.215200,0.029776,0.625000,0.093545,1.000000,0.000000
0,bayesian_active_model_selection,controller_instability_shift,48,0.575244,0.017695,0.140737,0.016532,0.378472,0.060538,0.333333,0.081956,0.000000,0.000000,0.136165,0.012644,0.332334,0.053108,0.170306,0.049837,0.347222,0.084699,1.000000,0.000000
0,bayesian_active_model_selection,goal_ambiguity_shift,48,0.586079,0.015082,0.128852,0.015928,0.451389,0.064487,0.399306,0.092139,0.000000,0.000000,0.144452,0.014095,0.308455,0.049111,0.201489,0.044861,0.402778,0.091672,1.000000,0.000000
0,bayesian_active_model_selection,model_misspecification_shift,48,0.581706,0.016461,0.129273,0.016867,0.406250,0.062964,0.413194,0.095788,0.000000,0.000000,0.147415,0.014629,0.313268,0.053490,0.194114,0.048406,0.427083,0.096240,1.000000,0.000000
0,bayesian_active_model_selection,nominal_disagreement,48,0.582483,0.014994,0.152381,0.017350,0.472222,0.057815,0.125000,0.040688,0.000000,0.000000,0.101344,0.005374,0.383557,0.057550,0.176303,0.052372,0.125000,0.040688,1.000000,0.000000
0,bayesian_active_model_selection,ood_action_shift,48,0.587484,0.013005,0.133188,0.013120,0.468750,0.068539,0.364583,0.072562,0.003472,0.006806,0.137521,0.010158,0.313857,0.042170,0.198207,0.037956,0.368056,0.071446,1.000000,0.000000
0,bayesian_active_model_selection,rare_adversarial_shift,48,0.561816,0.021428,0.112825,0.012665,0.364583,0.064997,0.555556,0.106251,0.079861,0.057533,0.191553,0.013641,0.276457,0.035289,0.179513,0.032711,0.680556,0.084139,1.000000,0.000000
0,bayesian_active_model_selection,sensor_noise_shift,48,0.595466,0.014291,0.127402,0.016373,0.420139,0.063772,0.371528,0.090846,0.003472,0.006806,0.139891,0.013608,0.311331,0.051469,0.217259,0.046503,0.378472,0.090586,1.000000,0.000000
0,conformal_risk_filter,combined_disagreement_stress,48,0.226578,0.035799,0.042191,0.010025,0.201389,0.050501,0.076389,0.049555,0.159722,0.088054,0.205591,0.010441,0.635729,0.046536,-0.159878,0.043533,0.809028,0.060733,0.319444,0.064395
0,conformal_risk_filter,controller_instability_shift,48,0.277802,0.040632,0.069269,0.013829,0.229167,0.046264,0.041667,0.032984,0.104167,0.056400,0.173302,0.012628,0.623056,0.054959,-0.120416,0.051298,0.607639,0.069112,0.434028,0.073907
0,conformal_risk_filter,goal_ambiguity_shift,48,0.246028,0.032445,0.058472,0.010663,0.236111,0.059030,0.027778,0.031266,0.138889,0.074286,0.183540,0.010410,0.660062,0.047305,-0.150117,0.042015,0.659722,0.058324,0.368056,0.058324
0,conformal_risk_filter,model_misspecification_shift,48,0.246801,0.032935,0.061935,0.010510,0.184028,0.046888,0.010417,0.011534,0.121528,0.067903,0.179495,0.010747,0.659221,0.049699,-0.151839,0.046342,0.631944,0.059130,0.378472,0.058955
0,conformal_risk_filter,nominal_disagreement,48,0.387321,0.044212,0.091772,0.013026,0.274306,0.057943,0.013889,0.016372,0.052083,0.033912,0.135816,0.014076,0.552774,0.067937,0.007086,0.064355,0.392361,0.078108,0.621528,0.074545
0,conformal_risk_filter,ood_action_shift,48,0.321843,0.033103,0.070871,0.012391,0.225694,0.046125,0.055556,0.032744,0.118056,0.061483,0.169908,0.011047,0.574310,0.041917,-0.062246,0.040071,0.614583,0.063896,0.503472,0.062650
0,conformal_risk_filter,rare_adversarial_shift,48,0.261297,0.031418,0.048075,0.008899,0.159722,0.035013,0.076389,0.045577,0.177083,0.093498,0.204100,0.009104,0.576989,0.036320,-0.121018,0.036321,0.822917,0.054508,0.392361,0.057943
0,conformal_risk_filter,sensor_noise_shift,48,0.313403,0.040350,0.073776,0.010891,0.253472,0.043486,0.024306,0.029162,0.069444,0.046477,0.161056,0.011991,0.602525,0.065834,-0.073934,0.062279,0.534722,0.068056,0.489583,0.064815
0,ensemble_forecasting_calibrator,combined_disagreement_stress,48,0.551331,0.012626,0.130019,0.016842,0.315972,0.053486,0.343750,0.088828,0.062500,0.043088,0.136924,0.012604,0.306409,0.048762,0.169442,0.044243,0.531250,0.076990,1.000000,0.000000
