method,split,task,family,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,aleatoric_sensor_noise,10,0.533528,0.012468,0.103357,0.006654,0.366667,0.160033,0.000000,0.000000,0.066667,0.072229,0.094878,0.010753,0.185342,0.018961,0.239729,0.021080,0.066667,0.072229,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,controller_instability,10,0.600232,0.056614,0.182191,0.039757,0.300000,0.167278,0.483333,0.157419,0.000000,0.000000,0.169331,0.026454,0.433082,0.129662,0.080880,0.125408,0.533333,0.167278,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,epistemic_unknown,10,0.553488,0.011726,0.088859,0.008574,0.300000,0.094927,0.800000,0.065333,0.000000,0.000000,0.226794,0.009935,0.301648,0.022654,0.199242,0.023536,0.866667,0.065333,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,goal_specification_ambiguity,10,0.533938,0.010458,0.087922,0.006165,0.383333,0.119778,0.933333,0.053344,0.000000,0.000000,0.242328,0.008115,0.286426,0.015403,0.170880,0.019604,0.950000,0.049899,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,model_misspecification,10,0.651604,0.028916,0.132287,0.017593,0.516667,0.113683,0.700000,0.094927,0.000000,0.000000,0.173830,0.012046,0.238873,0.061842,0.238892,0.060014,0.700000,0.094927,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,multi_modal_valid_plans,10,0.547987,0.015788,0.055294,0.003799,0.250000,0.121741,0.000000,0.000000,0.333333,0.084345,0.140380,0.013404,0.118799,0.017474,0.328074,0.021403,0.333333,0.084345,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,out_of_distribution_action,10,0.692579,0.025198,0.113032,0.017011,0.283333,0.098000,0.833333,0.084345,0.000000,0.000000,0.193439,0.011931,0.155117,0.057116,0.308502,0.054669,0.850000,0.090450,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,articulated_tool_use_with_occlusion,sensor_corruption,10,0.529505,0.014088,0.112347,0.011752,0.316667,0.102726,0.816667,0.076222,0.000000,0.000000,0.221783,0.011424,0.337263,0.026619,0.127092,0.031962,0.833333,0.068867,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,aleatoric_sensor_noise,10,0.537791,0.014578,0.102538,0.006734,0.400000,0.139446,0.000000,0.000000,0.066667,0.053344,0.096700,0.009362,0.187181,0.019984,0.244517,0.024456,0.066667,0.053344,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,controller_instability,10,0.574836,0.052823,0.203657,0.036457,0.416667,0.163333,0.450000,0.138165,0.000000,0.000000,0.162068,0.023164,0.505769,0.116237,0.013342,0.116894,0.483333,0.141556,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,epistemic_unknown,10,0.544741,0.011494,0.091517,0.010934,0.416667,0.100391,0.816667,0.090450,0.000000,0.000000,0.231737,0.013431,0.327656,0.023787,0.181187,0.026521,0.866667,0.081485,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,goal_specification_ambiguity,10,0.531371,0.010502,0.089445,0.011628,0.383333,0.154377,0.933333,0.072229,0.000000,0.000000,0.245860,0.012449,0.305339,0.024546,0.162490,0.027357,0.933333,0.072229,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,model_misspecification,10,0.649392,0.044328,0.134956,0.027505,0.466667,0.094927,0.683333,0.132916,0.000000,0.000000,0.173362,0.018658,0.256636,0.093371,0.231135,0.092061,0.700000,0.144457,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,multi_modal_valid_plans,10,0.544433,0.015732,0.059036,0.008214,0.350000,0.123674,0.000000,0.000000,0.300000,0.136002,0.137112,0.023070,0.136149,0.017590,0.318576,0.022297,0.300000,0.136002,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,out_of_distribution_action,10,0.657599,0.033496,0.138532,0.022535,0.383333,0.154377,0.716667,0.109432,0.000000,0.000000,0.177731,0.014298,0.232683,0.072797,0.228417,0.073117,0.733333,0.111045,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,bimanual_manipulation_failure_detection,sensor_corruption,10,0.532898,0.010143,0.100597,0.010483,0.533333,0.117277,0.900000,0.072229,0.000000,0.000000,0.240945,0.009903,0.329153,0.024787,0.142923,0.026673,0.916667,0.054444,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,aleatoric_sensor_noise,10,0.557897,0.011280,0.099126,0.002904,0.450000,0.129298,0.000000,0.000000,0.016667,0.032667,0.088017,0.005913,0.161430,0.013848,0.278208,0.017456,0.016667,0.032667,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,controller_instability,10,0.592136,0.062675,0.188381,0.038598,0.283333,0.119778,0.483333,0.164779,0.000000,0.000000,0.166438,0.022149,0.460906,0.129466,0.061192,0.132305,0.516667,0.141556,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,epistemic_unknown,10,0.548354,0.010918,0.083288,0.008405,0.433333,0.111045,0.816667,0.113683,0.000000,0.000000,0.242198,0.014392,0.309628,0.015850,0.195581,0.020501,0.916667,0.073045,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,goal_specification_ambiguity,10,0.533547,0.008608,0.087270,0.006482,0.366667,0.117277,0.916667,0.054444,0.000000,0.000000,0.250069,0.009162,0.301691,0.013063,0.166504,0.016975,0.933333,0.053344,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,model_misspecification,10,0.652196,0.042464,0.130829,0.023412,0.300000,0.117277,0.666667,0.146090,0.000000,0.000000,0.172183,0.014806,0.245387,0.084674,0.243845,0.083740,0.700000,0.126985,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,multi_modal_valid_plans,10,0.564994,0.017389,0.055099,0.005645,0.366667,0.081485,0.000000,0.000000,0.266667,0.111045,0.133547,0.020216,0.113404,0.020961,0.350294,0.025022,0.266667,0.111045,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,out_of_distribution_action,10,0.631880,0.042082,0.153417,0.027069,0.583333,0.131120,0.650000,0.123674,0.000000,0.000000,0.167512,0.014709,0.291977,0.088196,0.177103,0.091295,0.666667,0.119282,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,contact_rich_pick_and_place,sensor_corruption,10,0.523480,0.016996,0.120031,0.018762,0.350000,0.102726,0.733333,0.121254,0.000000,0.000000,0.218477,0.019849,0.367586,0.039989,0.106478,0.044727,0.766667,0.111045,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,aleatoric_sensor_noise,10,0.544939,0.013186,0.099239,0.004367,0.400000,0.130667,0.000000,0.000000,0.033333,0.043556,0.090758,0.007524,0.156335,0.016700,0.263082,0.020699,0.033333,0.043556,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,controller_instability,10,0.588032,0.031129,0.187634,0.020537,0.550000,0.146495,0.500000,0.097393,0.000000,0.000000,0.173020,0.013549,0.445564,0.066652,0.054124,0.065720,0.550000,0.085045,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,epistemic_unknown,10,0.550320,0.012062,0.086437,0.011340,0.483333,0.141556,0.816667,0.102726,0.000000,0.000000,0.234004,0.012566,0.299254,0.026141,0.196354,0.029341,0.900000,0.072229,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,goal_specification_ambiguity,10,0.543755,0.011280,0.084132,0.008409,0.333333,0.128839,0.933333,0.053344,0.000000,0.000000,0.245450,0.008276,0.273693,0.019688,0.186849,0.024603,0.950000,0.049899,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,model_misspecification,10,0.649890,0.020986,0.126218,0.012201,0.416667,0.131120,0.700000,0.081485,0.000000,0.000000,0.181198,0.009626,0.230165,0.042774,0.245372,0.041090,0.733333,0.072229,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,multi_modal_valid_plans,10,0.567259,0.016962,0.055963,0.005083,0.366667,0.117277,0.000000,0.000000,0.216667,0.109432,0.121917,0.018241,0.090370,0.016576,0.358800,0.023060,0.216667,0.109432,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,out_of_distribution_action,10,0.642294,0.033346,0.144539,0.021474,0.450000,0.169041,0.683333,0.149697,0.000000,0.000000,0.176142,0.015763,0.245842,0.073655,0.201009,0.069970,0.700000,0.126985,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,deformable_object_handling,sensor_corruption,10,0.522602,0.012849,0.121763,0.015994,0.450000,0.109432,0.766667,0.111045,0.000000,0.000000,0.213953,0.018678,0.354731,0.034410,0.104956,0.035242,0.766667,0.111045,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,aleatoric_sensor_noise,10,0.519637,0.016576,0.109749,0.007043,0.366667,0.094927,0.000000,0.000000,0.033333,0.043556,0.090502,0.007189,0.198172,0.024020,0.214838,0.028443,0.033333,0.043556,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,controller_instability,10,0.647053,0.033367,0.162837,0.019581,0.466667,0.117277,0.633333,0.094927,0.000000,0.000000,0.194133,0.013329,0.359077,0.069405,0.152919,0.067153,0.650000,0.076222,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,epistemic_unknown,10,0.551668,0.014030,0.082860,0.010769,0.416667,0.131120,0.816667,0.090450,0.000000,0.000000,0.233484,0.011700,0.301647,0.025859,0.205937,0.029954,0.933333,0.072229,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,goal_specification_ambiguity,10,0.529292,0.008620,0.089142,0.007082,0.233333,0.072229,0.950000,0.049899,0.000000,0.000000,0.238805,0.008079,0.298678,0.015279,0.166017,0.018733,0.950000,0.049899,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,model_misspecification,10,0.629522,0.038037,0.139179,0.023217,0.400000,0.111045,0.633333,0.136002,0.000000,0.000000,0.180062,0.018446,0.291071,0.078372,0.197285,0.076341,0.683333,0.132916,1.000000,0.000000
bayesian_active_model_selection,combined_disagreement_stress,legged_locomotion_disturbance,multi_modal_valid_plans,10,0.538894,0.012895,0.052370,0.006802,0.350000,0.058638,0.000000,0.000000,0.400000,0.099798,0.151440,0.016577,0.122250,0.012681,0.317671,0.018288,0.400000,0.099798,1.000000,0.000000
